"country","firearmsRate","totalFirearms","pop2020"
"United States","120.5000",393347000,"331002.6510"
"Falkland Islands","62.1000",2000,"3.4800"
"Yemen","52.8000",14859000,"29825.9640"
"New Caledonia","42.5000",115000,"285.4980"
"Montenegro","39.1000",245000,"628.0660"
"Serbia","39.1000",2719000,"8737.3710"
"Uruguay","34.7000",1198000,"3473.7300"
"Canada","34.7000",12708000,"37742.1540"
"Cyprus",34,285000,"1207.3590"
"Finland","32.4000",1793000,"5540.7200"
"Lebanon","31.9000",1927000,"6825.4450"
"Iceland","31.7000",106000,"341.2430"
"Bosnia and Herzegovina","31.2000",1185000,"3280.8190"
"Austria",30,2577000,"9006.3980"
"Liechtenstein","28.8000",11000,"38.1280"
"Norway","28.8000",1537000,"5421.2410"
"Malta","28.3000",119000,"441.5430"
"Switzerland","27.6000",2332000,"8654.6220"
"New Zealand","26.3000",1212000,"4822.2330"
"Sweden","23.1000",2296000,"10099.2650"
"Greenland","22.3000",13000,"56.7700"
"Pakistan","22.3000",43917000,"220892.3400"
"Portugal","21.3000",2186000,"10196.7090"
"Monaco","19.6000",7000,"39.2420"
"French Guiana","19.6000",55000,"298.6820"
"Reunion","19.6000",171000,"895.3120"
"Iraq","19.6000",7588000,"40222.4930"
"France","19.6000",12732000,"65273.5110"
"Germany","19.6000",15822000,"83783.9420"
"Luxembourg","18.9000",110000,"625.9780"
"Bahamas","18.8000",74000,"393.2440"
"Jordan","18.7000",1473000,"10203.1340"
"Venezuela","18.5000",5895000,"28435.9400"
"Greece","17.6000",1920000,"10423.0540"
"Qatar","16.7000",390000,"2881.0530"
"Kuwait","16.7000",685000,"4270.5710"
"Oman","16.7000",792000,"5106.6260"
"Paraguay","16.7000",1140000,"7132.5380"
"United Arab Emirates","16.7000",1569000,"9890.4020"
"Saudi Arabia","16.7000",5468000,"34813.8710"
"United States Virgin Islands","16.6000",18000,"104.4250"
"Turkey","16.5000",13249000,"84339.0670"
"Suriname","15.9000",88000,"586.6320"
"Guyana","15.8000",122000,"786.5520"
"Slovenia","15.6000",324000,"2078.9380"
"Namibia","15.4000",396000,"2540.9050"
"Thailand","15.1000",10342000,"69799.9780"
"Australia","14.5000",3573000,"25499.8840"
"San Marino","14.4000",5000,"33.9310"
"Italy","14.4000",8609000,"60461.8260"
"Andorra","14.1000",10000,"77.2650"
"Honduras","14.1000",1171000,"9904.6070"
"Croatia","13.7000",576000,"4105.2670"
"Lithuania","13.6000",385000,"2722.2890"
"Libya","13.3000",851000,"6871.2920"
"Mexico","12.9000",16809000,"128932.7530"
"Bahrain","12.8000",181000,"1701.5750"
"Belgium","12.7000",1451000,"11589.6230"
"Equatorial Guinea","12.5000",112000,"1402.9850"
"Czech Republic","12.5000",1323000,"10708.9810"
"Afghanistan","12.5000",4270000,"38928.3460"
"Somalia","12.4000",1145000,"15893.2220"
"Russia","12.3000",17620000,"145934.4620"
"Guatemala","12.1000",2062000,"17915.5680"
"Chile","12.1000",2220000,"19116.2010"
"Albania",12,350000,"2877.7970"
"El Salvador",12,737000,"6486.2050"
"Guam","11.5000",20000,"168.7750"
"Puerto Rico","11.5000",422000,"2860.8530"
"Angola","11.2000",2982000,"32866.2720"
"Panama","10.8000",436000,"4314.7670"
"Latvia","10.5000",205000,"1886.1980"
"Hungary","10.5000",1023000,"9660.3510"
"Samoa","10.1000",20000,"198.4140"
"Georgia","10.1000",402000,"3989.1670"
"Colombia","10.1000",4971000,"50882.8910"
"Belize",10,37000,"397.6280"
"Costa Rica",10,493000,"5094.1180"
"Faroe Islands","9.9000",5000,"48.8630"
"Denmark","9.9000",567000,"5792.2020"
"Ukraine","9.9000",4396000,"43733.7620"
"South Africa","9.7000",5351000,"59308.6900"
"South Sudan","9.6000",1255000,"11193.7250"
"Cayman Islands","9.2000",6000,"65.7220"
"Jamaica","8.8000",246000,"2961.1670"
"Saint Martin","8.5000",3000,"38.6660"
"Martinique","8.5000",34000,"375.2650"
"Guadeloupe","8.5000",40000,"400.1240"
"Bulgaria","8.4000",590000,"6948.4450"
"Mauritius","8.3000",106000,"1271.7680"
"Brazil","8.3000",17510000,"212559.4170"
"Syria","8.2000",1547000,"17500.6580"
"Tonga",8,9000,"105.6950"
"Ghana",8,2280000,"31072.9400"
"Mongolia","7.9000",242000,"3278.2900"
"Spain","7.5000",3464000,"46754.7780"
"Dominican Republic","7.4000",795000,"10847.9100"
"Argentina","7.4000",3256000,"45195.7740"
"Iran","7.3000",5890000,"83992.9490"
"Ireland","7.2000",342000,"4937.7860"
"Israel","6.7000",557000,"8655.5350"
"Sudan","6.6000",2768000,"43849.2600"
"Gambia","6.5000",137000,"2416.6680"
"Slovakia","6.5000",355000,"5459.6420"
"Dominica","6.2000",5000,"71.9860"
"Maldives","6.2000",23000,"540.5440"
"Armenia","6.1000",186000,"2963.2430"
"Belarus","6.1000",581000,"9449.3230"
